pickup,delivery,distance,equipment,weight,date,predicted_rate,pickup_lat,pickup_lon,delivery_lat,delivery_lon,market_index,quote_signal
Lexington,Fort Wayne,360,Dry Van,32000,01/12/2025,819.7529,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,02/12/2025,820.5076,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,03/12/2025,820.5028,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,04/12/2025,820.0317,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,05/12/2025,819.9743,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,06/12/2025,819.2936,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,07/12/2025,818.6011,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,08/12/2025,819.7529,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,09/12/2025,820.5076,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,10/12/2025,820.5028,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,11/12/2025,820.0317,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,12/12/2025,819.9743,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,13/12/2025,819.2936,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,14/12/2025,818.6011,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,15/12/2025,819.7529,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,16/12/2025,820.5076,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,17/12/2025,820.5028,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,18/12/2025,820.0317,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,19/12/2025,819.9743,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,20/12/2025,819.2936,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,21/12/2025,818.6011,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,22/12/2025,819.7529,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,23/12/2025,820.5076,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,24/12/2025,820.5028,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,25/12/2025,820.0317,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,26/12/2025,819.9743,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,27/12/2025,819.2936,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,28/12/2025,818.6011,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,29/12/2025,819.7529,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,30/12/2025,820.5076,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
Lexington,Fort Wayne,360,Dry Van,32000,31/12/2025,820.5028,36.99152,-84.99876,41.31561,-85.36206,1.083386716,2.062467841
