pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,819.7529
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,820.5075999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,820.5028
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,820.0317
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,819.9743000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,819.2936000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,818.6011000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,819.7529
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,820.5075999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,820.5028
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,820.0317
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,819.9743000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,819.2936000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,818.6011000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,819.7529
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,820.5075999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,820.5028
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,820.0317
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,819.9743000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,819.2936000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,818.6011000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,819.7529
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,820.5075999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,820.5028
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,820.0317
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,819.9743000000001
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,819.2936000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,818.6011000000002
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,819.7529
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,820.5075999999999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,820.5028
